Serial Number,Device Name,Tags,Notes
FCZ175081UH,homelab-r1,IP-homelab-r1 | IOS-15.5(3)M3,
FCZ125183F4,homelab-r2,IP-homelab-r2 | IOS-15.4(2)T2,
